date,cod,segment,part
2025-09-02,VALE3,Mats Básicos / Mineração,19.985
2025-09-02,SUZB3,Mats Básicos / Madeira e Papel,19.745
2025-09-02,GGBR4,Mats Básicos / Sid Metalurgia,18.065
2025-09-02,KLBN11,Mats Básicos / Madeira e Papel,12.053
2025-09-02,CMIN3,Mats Básicos / Mineração,7.131
2025-09-02,GOAU4,Mats Básicos / Sid Metalurgia,4.958
2025-09-02,CSNA3,Mats Básicos / Sid Metalurgia,4.598
2025-09-02,BRAP4,Mats Básicos / Mineração,3.456
2025-09-02,UNIP6,Mats Básicos / Químicos,2.709
2025-09-02,BRKM5,Mats Básicos / Químicos,2.027
2025-09-02,USIM5,Mats Básicos / Sid Metalurgia,1.677
2025-09-02,DXCO3,Mats Básicos / Madeira e Papel,1.451
2025-09-02,FESA4,Mats Básicos / Sid Metalurgia,0.866
2025-09-02,RANI3,Mats Básicos / Embalagens,0.688
2025-09-02,CBAV3,Mats Básicos / Mineração,0.591
