symbol,n_obs,corr,beta,r2,slope_pvalue
BBAS3.SA,2652,0.027816133308760413,0.06508242942456849,0.0007737372722507306,0.1521251902673294
MGLU3.SA,2652,0.012504827975456006,0.049936275099042804,0.0001563707226957471,0.5197765674751249
ELET6.SA,2652,0.016023617631700342,0.04164492564841708,0.00025675632200693806,0.40946167265479394
RDOR3.SA,1173,0.013171338897925024,0.03299508881979281,0.00017348416836399279,0.6522454771084669
GGBR4.SA,2652,0.007323690322215293,0.01910951796307207,5.363643993570996e-05,0.7061888217231507
ABEV3.SA,2652,0.006792166385646643,0.01041421785867386,4.6133524210308164e-05,0.7266244898527932
B3SA3.SA,2652,-0.001421297641039813,-0.003123439680081161,2.020086984425336e-06,0.9416796645901442
BBDC4.SA,2652,-0.0016852647990039128,-0.0034693108529532954,2.8401174427616987e-06,0.9308732581446875
EQTL3.SA,2652,-0.0032478683595046688,-0.005206193253779792,1.0548648880671545e-05,0.8672292660822705
LREN3.SA,2652,-0.0026255983284385687,-0.006298613191307488,6.893766582299404e-06,0.8924945206319819
